date,team,priority,request_count
2022-01-01,KYC,Low,123
2022-01-01,KYC,High,12
2022-01-01,Payments,Low,24
2022-01-01,Payments,High,66
2022-01-01,Sanctions,Low,0
2022-01-01,Sanctions,High,19
2022-01-02,KYC,Low,131
2022-01-02,KYC,High,13
2022-01-02,Payments,Low,12
2022-01-02,Payments,High,55
2022-01-02,Sanctions,Low,0
2022-01-02,Sanctions,High,18
2022-01-03,KYC,Low,144
2022-01-03,KYC,High,12
2022-01-03,Payments,Low,21
2022-01-03,Payments,High,56
2022-01-03,Sanctions,Low,0
2022-01-03,Sanctions,High,24
2022-01-04,KYC,Low,138
2022-01-04,KYC,High,10
2022-01-04,Payments,Low,21
2022-01-04,Payments,High,67
2022-01-04,Sanctions,Low,1
2022-01-04,Sanctions,High,27
2022-01-05,KYC,Low,150
2022-01-05,KYC,High,7
2022-01-05,Payments,Low,15
2022-01-05,Payments,High,64
2022-01-05,Sanctions,Low,1
2022-01-05,Sanctions,High,31
2022-01-06,KYC,Low,117
2022-01-06,KYC,High,10
2022-01-06,Payments,Low,16
2022-01-06,Payments,High,56
2022-01-06,Sanctions,Low,0
2022-01-06,Sanctions,High,19
2022-01-07,KYC,Low,129
2022-01-07,KYC,High,11
2022-01-07,Payments,Low,41
2022-01-07,Payments,High,104
2022-01-07,Sanctions,Low,0
2022-01-07,Sanctions,High,18
2022-01-08,KYC,Low,119
2022-01-08,KYC,High,7
2022-01-08,Payments,Low,14
2022-01-08,Payments,High,45
2022-01-08,Sanctions,Low,0
2022-01-08,Sanctions,High,33
2022-01-09,KYC,Low,126
2022-01-09,KYC,High,13
2022-01-09,Payments,Low,25
2022-01-09,Payments,High,60
2022-01-09,Sanctions,Low,3
2022-01-09,Sanctions,High,142
2022-01-10,KYC,Low,138
2022-01-10,KYC,High,11
2022-01-10,Payments,Low,18
2022-01-10,Payments,High,70
2022-01-10,Sanctions,Low,0
2022-01-10,Sanctions,High,39
2022-01-11,KYC,Low,110
2022-01-11,KYC,High,21
2022-01-11,Payments,Low,16
2022-01-11,Payments,High,68
2022-01-11,Sanctions,Low,0
2022-01-11,Sanctions,High,33
2022-01-12,KYC,Low,120
2022-01-12,KYC,High,16
2022-01-12,Payments,Low,13
2022-01-12,Payments,High,62
2022-01-12,Sanctions,Low,0
2022-01-12,Sanctions,High,29
